company_id,cluster_id,cluster_name,distance_from_centroid
ABB,1,Growth,1.4666579976733507
ADANIENSOL,4,Value / Lower Quality,1.4545514771048562
ADANIENT,1,Growth,2.5983419405256845
ADANIGREEN,4,Value / Lower Quality,3.068836760371652
ADANIPORTS,4,Value / Lower Quality,1.7693472952289648
ADANIPOWER,1,Growth,1.3691095872729655
AMBUJACEM,1,Growth,0.9523180784572384
APOLLOHOSP,1,Growth,1.6401354061135822
ASIANPAINT,1,Growth,1.4601973426994186
ATGL,1,Growth,0.3416020974281108
AXISBANK,4,Value / Lower Quality,2.5180793127118304
BAJAJ-AUTO,1,Growth,1.0397237930794296
BAJAJFINSV,4,Value / Lower Quality,1.408216763567422
BAJAJHLDNG,2,Quality,2.384185791015625e-07
BAJFINANCE,4,Value / Lower Quality,5.696612072875021
BANKBARODA,0,Stable / Moderate,2.543250131344372
BEL,3,High Quality / Compounders,2.0909670298841405
BHARTIARTL,0,Stable / Moderate,2.7412838040312746
BHEL,1,Growth,4.61544631045915
BOSCHLTD,1,Growth,1.1396019494910536
BPCL,1,Growth,1.333966787928606
BRITANNIA,1,Growth,1.866360572356204
CANBK,0,Stable / Moderate,3.5367402417218026
CHOLAFIN,4,Value / Lower Quality,2.05038538065431
CIPLA,4,Value / Lower Quality,7.545416995652918
COALINDIA,1,Growth,1.996281753972551
DABUR,1,Growth,1.1424408224066034
DIVISLAB,1,Growth,1.6276418508878114
DLF,1,Growth,2.4968334468024267
DMART,1,Growth,1.807282398231523
DRREDDY,1,Growth,2.0126918883816907
EICHERMOT,1,Growth,1.2383820763576012
GAIL,1,Growth,0.6709310618194034
GODREJCP,1,Growth,2.7583953575797677
GRASIM,1,Growth,1.4307632311616
HAL,3,High Quality / Compounders,2.0909670298841334
HAVELLS,1,Growth,1.2217097697979928
HCLTECH,1,Growth,1.0585457500209212
HDFCBANK,4,Value / Lower Quality,1.4203710735620263
HDFCLIFE,4,Value / Lower Quality,2.305708635272537
HEROMOTOCO,1,Growth,2.824821021581489
HINDALCO,4,Value / Lower Quality,1.876195775173666
HINDUNILVR,1,Growth,2.1821630299196726
ICICIBANK,0,Stable / Moderate,2.040096263410871
ICICIGI,4,Value / Lower Quality,2.0138981372587623
ICICIPRULI,4,Value / Lower Quality,3.781778056880917
INDIGO,0,Stable / Moderate,6.016010770387915
INDUSINDBK,4,Value / Lower Quality,1.5220148539007867
INFY,1,Growth,1.235837155224622
IOC,1,Growth,0.9075264476779866
IRCTC,1,Growth,2.345137083182346
IRFC,4,Value / Lower Quality,2.2258591703621686
ITC,1,Growth,1.3562403943913897
JINDALSTEL,1,Growth,1.6318662883763415
JIOFIN,4,Value / Lower Quality,2.511291566857795
JSWENERGY,1,Growth,1.8635619228767384
JSWSTEEL,1,Growth,1.6476479102887576
KOTAKBANK,4,Value / Lower Quality,1.0704938523529632
LICI,1,Growth,3.7961272331012266
LODHA,1,Growth,2.6660685271455904
LT,1,Growth,0.8517408901743786
LTIM,1,Growth,3.113132534778184
M&M,1,Growth,0.9252357396806308
MARUTI,1,Growth,0.6116276287844029
MOTHERSON,1,Growth,1.1955073746158231
NAUKRI,1,Growth,1.7211864950985618
NESTLEIND,1,Growth,1.7905285775007371
NHPC,1,Growth,2.24961906346798
NTPC,1,Growth,0.9532059550706554
ONGC,1,Growth,0.6007574236591888
PFC,4,Value / Lower Quality,2.171964345688035
PIDILITIND,1,Growth,1.117878940297944
PNB,4,Value / Lower Quality,1.7548279649120089
POWERGRID,4,Value / Lower Quality,2.198922483323929
RECLTD,4,Value / Lower Quality,1.8374567333177565
RELIANCE,1,Growth,0.4640969532236731
SBILIFE,1,Growth,2.2628443379960306
SBIN,1,Growth,0.3416020974281108
SHREECEM,1,Growth,0.5024214403312609
SHRIRAMFIN,4,Value / Lower Quality,1.45552037578113
SIEMENS,1,Growth,1.7511342618721455
SUNPHARMA,1,Growth,1.766968711722933
TATACONSUM,1,Growth,1.926640951340906
TATAMOTORS,1,Growth,0.9669656507872184
TATAPOWER,1,Growth,1.2992636144186525
TATASTEEL,1,Growth,2.863847252818648
TCS,1,Growth,1.190662034838401
TECHM,1,Growth,2.3202986481524874
TITAN,1,Growth,1.8519182661958231
TORNTPHARM,1,Growth,1.5257279139557625
TRENT,0,Stable / Moderate,3.5781237551961635
TVSMOTOR,1,Growth,1.526882328451758
