company_id,company_name,sector,CFO,CFF,latest_net_profit
AXISBANK,Axis Bank Ltd,Unknown,-5555.0,22341.0,26386.0
BAJAJFINSV,Bajaj Finserv Ltd,Unknown,-68674.0,82709.0,16520.0
BAJFINANCE,Bajaj Finance Ltd,Unknown,-72760.0,82415.0,15389.0
BANKBARODA,Bank of Baroda,Unknown,-6274.0,5476.0,20144.0
BHEL,"Bharat Heavy Electricals Limited
",Unknown,-3713.0,2656.0,445.0
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Unknown,-35683.0,38471.0,3852.0
GRASIM,Grasim Industries Ltd,Unknown,-10719.0,33908.0,8693.0
M&M,"Mahindra & Mahindra Ltd
",Unknown,-5630.0,12281.0,13009.0
PFC,Power Finance Corporation Ltd,Unknown,-97820.0,101261.0,28248.0
PNB,Punjab National Bank,Unknown,-27939.0,3518.0,14535.0
RECLTD,REC Ltd,Unknown,-57723.0,59588.0,14885.0
SHRIRAMFIN,"Shriram Finance Ltd
",Unknown,-31101.0,27609.0,9454.0
TVSMOTOR,TVS Motor Company Ltd,Unknown,-1253.0,2759.0,2094.0
