company_id,metric_type,raw_value,reason
HDFCBANK,sales_growth,TTM:            47%,Pattern did not match N Years: X%
HDFCBANK,profit_growth,TTM:                27%,Pattern did not match N Years: X%
HDFCBANK,roe,Last Year:    17%,Pattern did not match N Years: X%
INFY,sales_growth,TTM:            3%,Pattern did not match N Years: X%
INFY,profit_growth,TTM:                 8%,Pattern did not match N Years: X%
INFY,roe,Last Year:     32%,Pattern did not match N Years: X%
SBILIFE,sales_growth,TTM:            43%,Pattern did not match N Years: X%
SBILIFE,profit_growth,TTM:                 18%,Pattern did not match N Years: X%
SBILIFE,roe,Last Year:      12%,Pattern did not match N Years: X%
TCS,sales_growth,TTM:            5%             ,Pattern did not match N Years: X%
TCS,profit_growth,TTM:                 8%,Pattern did not match N Years: X%
TCS,roe,Last Year:       52%,Pattern did not match N Years: X%
