company_id,previous_year,previous_pattern,latest_year,latest_pattern
ABB,Mar 2024,Deleveraging,Mar 2024,Cash Generator
ADANIENSOL,Mar 2023,Deleveraging,Mar 2024,Cash Generator
ADANIENT,Mar 2023,Deleveraging,Mar 2024,Balanced
ADANIPORTS,Mar 2024,Deleveraging,Mar 2024,Cash Generator
APOLLOHOSP,Mar 2023,Deleveraging,Mar 2024,Cash Generator
ASIANPAINT,Mar 2024,Deleveraging,Mar 2024,Cash Generator
AXISBANK,Mar 2023,Deleveraging,Mar 2024,Distress Signal
BAJAJ-AUTO,Mar 2024,Deleveraging,Mar 2024,Cash Generator
BAJAJFINSV,Mar 2023,Distress Signal,Mar 2024,Balanced
BAJFINANCE,Mar 2023,Distress Signal,Mar 2024,Deleveraging
BANKBARODA,Mar 2023,Distress Signal,Mar 2024,Deleveraging
BHEL,Mar 2023,Distress Signal,Mar 2024,Balanced
CANBK,Mar 2023,Distress Signal,Mar 2024,Deleveraging
CHOLAFIN,Mar 2023,Distress Signal,Mar 2024,Balanced
COALINDIA,Mar 2023,Deleveraging,Mar 2024,Cash Generator
DABUR,Mar 2023,Deleveraging,Mar 2024,Cash Generator
DLF,Mar 2023,Deleveraging,Mar 2024,Cash Generator
DRREDDY,Mar 2023,Deleveraging,Mar 2024,Cash Generator
EICHERMOT,Mar 2023,Deleveraging,Mar 2024,Cash Generator
GAIL,Mar 2023,Deleveraging,Mar 2024,Cash Generator
GODREJCP,Mar 2023,Deleveraging,Mar 2024,Balanced
GRASIM,Mar 2023,Distress Signal,Mar 2024,Balanced
HAL,Mar 2023,Deleveraging,Mar 2024,Cash Generator
HAVELLS,Mar 2023,Deleveraging,Mar 2024,Cash Generator
HCLTECH,Mar 2023,Deleveraging,Mar 2024,Cash Generator
HEROMOTOCO,Mar 2023,Deleveraging,Mar 2024,Cash Generator
HINDUNILVR,Mar 2023,Deleveraging,Mar 2024,Cash Generator
ICICIBANK,Mar 2023,Distress Signal,Mar 2024,Deleveraging
ICICIPRULI,Mar 2023,Deleveraging,Mar 2024,Distress Signal
INDIGO,Mar 2023,Deleveraging,Mar 2024,Cash Generator
INDUSINDBK,Mar 2023,Distress Signal,Mar 2024,Deleveraging
IRFC,Mar 2023,Distress Signal,Mar 2024,Deleveraging
JINDALSTEL,Mar 2023,Deleveraging,Mar 2024,Balanced
JIOFIN,Mar 2023,Deleveraging,Mar 2024,Distress Signal
JSWENERGY,Mar 2023,Deleveraging,Mar 2024,Balanced
KOTAKBANK,Mar 2023,Distress Signal,Mar 2024,Cash Generator
LT,Mar 2023,Deleveraging,Mar 2024,Cash Generator
LTIM,Mar 2023,Deleveraging,Mar 2024,Cash Generator
M&M,Mar 2023,Distress Signal,Mar 2024,Balanced
MOTHERSON,Mar 2023,Deleveraging,Mar 2024,Cash Generator
NAUKRI,Mar 2023,Deleveraging,Mar 2024,Balanced
NHPC,Mar 2023,Deleveraging,Mar 2024,Cash Generator
PFC,Mar 2023,Distress Signal,Mar 2024,Deleveraging
PNB,Mar 2024,Distress Signal,Mar 2024,Balanced
POWERGRID,Mar 2024,Deleveraging,Mar 2024,Cash Generator
RECLTD,Mar 2023,Distress Signal,Mar 2024,Deleveraging
SHRIRAMFIN,Mar 2023,Distress Signal,Mar 2024,Balanced
SIEMENS,Sep 2023,Deleveraging,Sep 2024,Cash Generator
TATACONSUM,Mar 2023,Deleveraging,Mar 2024,Cash Generator
TATASTEEL,Mar 2023,Deleveraging,Mar 2024,Cash Generator
TCS,Mar 2023,Deleveraging,Mar 2024,Cash Generator
TECHM,Mar 2024,Deleveraging,Mar 2024,Cash Generator
TITAN,Mar 2023,Deleveraging,Mar 2024,Cash Generator
TVSMOTOR,Mar 2023,Distress Signal,Mar 2024,Deleveraging
