kpi,P10,P25,P50,P75,P90,Mean,Std,Company_Count
net_profit_margin_pct,4.6034,7.2171,14.1181,20.3798,29.3307,20.1189,45.6823,90
operating_profit_margin_pct,10.0623,16.0892,26.1792,41.7539,84.4639,35.3251,27.3118,89
return_on_equity_pct,8.3617,11.6121,16.2744,26.0833,48.3938,125.0665,640.6161,90
debt_to_equity,0.0077,0.0548,0.4358,1.6179,6.4606,1.6825,2.8761,90
interest_coverage,1.6096,3.1172,11.3584,58.2107,192.9406,127.4125,488.5081,90
asset_turnover,0.0731,0.2087,0.6705,1.1362,1.6631,3.5359,15.9334,90
revenue_cagr_5yr,5.7731,8.3984,11.8364,16.8455,21.0118,12.8463,7.3771,89
pat_cagr_5yr,4.2895,9.4615,16.025,23.4685,38.134,20.2353,20.6996,82
eps_cagr_5yr,3.3038,8.9977,14.2897,21.6585,30.3919,17.9702,18.8197,81
composite_quality_score,52.8895,60.1801,68.9778,82.8929,91.0466,70.1441,15.1363,90
