company_id,company_name,sector,P/E,P/B,EV/EBITDA,fcf_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Unknown,75.58,4.48,12.63,0.07127809977975783,45.834999999999994,64.89582197011019,Caution
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Unknown,73.37,3.9,23.94,0.16720543083991699,45.834999999999994,60.074179120759275,Caution
BPCL,Bharat Petroleum Corporation Ltd,Oil & Gas,68.15,0.72,26.59,5.422883218663305,28.61,138.20342537574274,Caution
DIVISLAB,Divis Laboratories Ltd,Pharmaceuticals,69.95,12.34,31.81,0.061423058204904804,46.4,50.7543103448276,Caution
DMART,Avenue Supermarts Ltd,Unknown,72.53,11.71,36.84,0.00910553222430331,45.834999999999994,58.24151849023673,Caution
GRASIM,Grasim Industries Ltd,Unknown,79.35,5.68,15.23,-7.063967310949983,45.834999999999994,73.12097741900297,Caution
HAL,Hindustan Aeronautics Ltd,Unknown,71.89,3.65,8.76,0.06861811283803056,45.834999999999994,56.84520562888624,Caution
HDFCBANK,HDFC Bank Ltd,Private Banks,49.42,4.4,22.54,4.412519521183551,32.9,50.21276595744681,Caution
HEROMOTOCO,"Hero MotoCorp Ltd
",Automobiles,53.86,12.6,28.27,0.19423862750722218,29.91,80.07355399531929,Caution
INDIGO,Interglobe Aviation Ltd,Unknown,76.23,7.87,24.64,0.9056027172386589,45.834999999999994,66.31395221991932,Caution
NHPC,"NHPC Ltd
",Power & Utilities,71.17,13.74,18.26,0.05573417784977254,44.57,59.681400044873236,Caution
RELIANCE,"Reliance Industries Ltd
",Oil & Gas,58.34,3.25,24.96,10.453145124463461,28.61,103.91471513456834,Caution
SBILIFE,SBI Life Insurance Company Ltd,Life Insurance,69.98,9.48,31.04,-0.23688132542403253,40.63,72.23726310607925,Caution
SBIN,State Bank of India,Public Sector Banks,54.93,2.72,21.53,,28.015,96.07353203640908,Caution
TATAMOTORS,Tata Motors Ltd,Automobiles,67.07,0.93,15.35,3.000651602734764,29.91,124.23938482113002,Caution
TVSMOTOR,TVS Motor Company Ltd,Automobiles,46.1,5.62,7.1,-0.8454886074536311,29.91,54.12905382815112,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Unknown,15.07,6.08,39.72,-4.180016339930263,45.834999999999994,-67.12119559288753,Discount
BANKBARODA,Bank of Baroda,Public Sector Banks,16.89,4.15,24.7,-1.279081332956056,28.015,-39.710869177226485,Discount
BEL,Bharat Electronics Ltd,Unknown,17.89,9.22,23.14,-0.09337302073000636,45.834999999999994,-60.9686920475619,Discount
BHEL,"Bharat Heavy Electricals Limited
",Unknown,29.8,11.43,21.59,-0.4410671269170658,45.834999999999994,-34.984182393367504,Discount
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Consumer Finance,16.79,10.36,13.52,-3.9650923712808046,68.53,-75.49978111775864,Discount
DRREDDY,Dr Reddys Laboratories Ltd,Pharmaceuticals,11.73,10.19,14.56,0.020845250072724943,46.4,-74.7198275862069,Discount
EICHERMOT,Eicher Motors Ltd,Automobiles,15.62,13.61,19.29,0.4001945575069012,29.91,-47.77666332330325,Discount
GODREJCP,Godrej Consumer Products Ltd,FMCG,33.59,8.07,23.55,-0.10280184353453976,50.95,-34.07262021589793,Discount
HINDUNILVR,"Hindustan Unilever Ltd
",FMCG,34.51,11.88,7.52,1.8482736240750641,50.95,-32.26692836113838,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Life Insurance,20.83,12.38,22.57,0.006574879059013327,40.63,-48.73246369677579,Discount
INDUSINDBK,IndusInd Bank Ltd,Private Banks,8.99,3.7,28.79,-0.9664534641259643,32.9,-72.67477203647417,Discount
